ID,CorpIndustrial,Economia,GovSocial,Mercados
news_00001.xml,0.25000,0.25000,0.25000,0.25000
news_00004.xml,0.25000,0.25000,0.25000,0.25000
news_00005.xml,0.25000,0.25000,0.25000,0.25000
news_00011.xml,0.25000,0.25000,0.25000,0.25000
news_00015.xml,0.25000,0.25000,0.25000,0.25000
news_00020.xml,0.25000,0.25000,0.25000,0.25000
news_00021.xml,0.25000,0.25000,0.25000,0.25000
news_00023.xml,0.25000,0.25000,0.25000,0.25000
news_00031.xml,0.25000,0.25000,0.25000,0.25000
news_00032.xml,0.25000,0.25000,0.25000,0.25000
news_00039.xml,0.25000,0.25000,0.25000,0.25000
news_00042.xml,0.25000,0.25000,0.25000,0.25000
news_00043.xml,0.25000,0.25000,0.25000,0.25000
news_00046.xml,0.25000,0.25000,0.25000,0.25000
news_00047.xml,0.25000,0.25000,0.25000,0.25000
news_00048.xml,0.25000,0.25000,0.25000,0.25000
news_00049.xml,0.25000,0.25000,0.25000,0.25000
news_00052.xml,0.25000,0.25000,0.25000,0.25000
news_00055.xml,0.25000,0.25000,0.25000,0.25000
news_00068.xml,0.25000,0.25000,0.25000,0.25000
news_00069.xml,0.25000,0.25000,0.25000,0.25000
news_00082.xml,0.25000,0.25000,0.25000,0.25000
news_00084.xml,0.25000,0.25000,0.25000,0.25000
news_00088.xml,0.25000,0.25000,0.25000,0.25000
news_00090.xml,0.25000,0.25000,0.25000,0.25000
news_00091.xml,0.25000,0.25000,0.25000,0.25000
news_00093.xml,0.25000,0.25000,0.25000,0.25000
news_00098.xml,0.25000,0.25000,0.25000,0.25000
news_00102.xml,0.25000,0.25000,0.25000,0.25000
news_00104.xml,0.25000,0.25000,0.25000,0.25000
news_00109.xml,0.25000,0.25000,0.25000,0.25000
news_00118.xml,0.25000,0.25000,0.25000,0.25000
news_00128.xml,0.25000,0.25000,0.25000,0.25000
news_00134.xml,0.25000,0.25000,0.25000,0.25000
news_00137.xml,0.25000,0.25000,0.25000,0.25000
news_00149.xml,0.25000,0.25000,0.25000,0.25000
news_00154.xml,0.25000,0.25000,0.25000,0.25000
news_00157.xml,0.25000,0.25000,0.25000,0.25000
news_00164.xml,0.25000,0.25000,0.25000,0.25000
news_00166.xml,0.25000,0.25000,0.25000,0.25000
news_00167.xml,0.25000,0.25000,0.25000,0.25000
news_00168.xml,0.25000,0.25000,0.25000,0.25000
